,Date,MinTemp,MaxTemp,Rainfall
484,2009-02-27,16.34444444444444,29.164444444444445,3.497777777777778
485,2009-02-28,16.082222222222224,29.315555555555555,0.23111111111111113
486,2009-03-01,17.095555555555556,27.288888888888877,0.977777777777778
487,2009-03-02,17.295555555555556,27.16444444444444,0.6133333333333332
488,2009-03-03,17.491111111111113,28.208888888888886,1.5422222222222224
489,2009-03-04,16.111111111111114,24.362222222222226,1.9155555555555557
490,2009-03-05,13.686666666666664,23.993478260869562,1.2755555555555556
491,2009-03-06,12.61304347826087,24.5608695652174,1.1956521739130435
492,2009-03-07,13.856521739130438,25.945652173913043,2.065217391304348
493,2009-03-08,14.965217391304348,26.363043478260874,0.3217391304347826
494,2009-03-09,15.208695652173915,27.365217391304355,1.7869565217391306
495,2009-03-10,16.417391304347824,28.243478260869566,0.8739130434782608
496,2009-03-11,16.94347826086957,27.330434782608688,0.9347826086956523
497,2009-03-12,17.256521739130438,26.665217391304335,2.8826086956521744
498,2009-03-13,16.89130434782608,27.608695652173914,1.365217391304348
499,2009-03-14,16.593478260869563,26.310869565217395,2.404347826086957
500,2009-03-15,14.563043478260875,25.560869565217384,7.508695652173913
501,2009-03-16,13.763043478260867,25.221739130434784,1.5347826086956524
502,2009-03-17,13.582608695652171,24.410869565217393,1.297826086956522
503,2009-03-18,13.233333333333336,26.130434782608695,0.3111111111111111
504,2009-03-19,13.919565217391305,28.37173913043479,0.29130434782608694
505,2009-03-20,15.00869565217391,28.065217391304348,0.021739130434782608
506,2009-03-21,15.082608695652173,29.523913043478263,0.6533333333333334
507,2009-03-22,15.097826086956513,26.734782608695657,0.19555555555555557
508,2009-03-23,14.691304347826087,26.26739130434783,0.6173913043478262
509,2009-03-24,14.756521739130434,26.873333333333328,0.24565217391304345
510,2009-03-25,16.05111111111111,27.302173913043486,0.7304347826086959
511,2009-03-26,15.499999999999998,27.434782608695652,2.8934782608695655
512,2009-03-27,14.31086956521739,26.00869565217391,0.7434782608695655
513,2009-03-28,13.208695652173912,26.667391304347827,0.6043478260869565
514,2009-03-29,13.504444444444443,26.73913043478261,0.2695652173913044
515,2009-03-30,15.26444444444444,25.552173913043475,0.7565217391304349
516,2009-03-31,15.59333333333333,25.821739130434782,4.034782608695651
517,2009-04-01,15.253333333333337,26.51521739130435,6.70222222222222
518,2009-04-02,15.811363636363643,27.467391304347817,7.24782608695652
519,2009-04-03,16.569565217391297,25.83555555555556,5.326086956521738
520,2009-04-04,13.646666666666667,22.4108695652174,7.752173913043477
521,2009-04-05,13.23913043478261,23.06086956521739,1.4000000000000001
522,2009-04-06,11.769565217391307,21.940000000000005,0.5565217391304347
523,2009-04-07,12.615555555555556,22.717777777777783,2.0782608695652174
524,2009-04-08,12.271111111111114,23.87391304347826,1.1826086956521737
525,2009-04-09,12.902173913043478,24.47826086956521,1.517391304347826
526,2009-04-10,12.921739130434782,24.571111111111108,1.7608695652173916
527,2009-04-11,13.397777777777778,24.793333333333333,0.6434782608695652
528,2009-04-12,14.217777777777776,25.47608695652174,2.569565217391304
529,2009-04-13,13.97608695652174,24.808695652173913,0.982608695652174
530,2009-04-14,14.484782608695651,25.42391304347826,9.68695652173913
531,2009-04-15,13.233333333333329,23.356521739130436,2.243478260869565
532,2009-04-16,10.565217391304348,22.966666666666665,0.24782608695652178
533,2009-04-17,11.857777777777779,23.49333333333333,0.7652173913043478
534,2009-04-18,12.471111111111115,23.335555555555555,1.0800000000000003
535,2009-04-19,13.326666666666668,22.680434782608696,2.275555555555556
536,2009-04-20,12.434782608695654,22.702173913043477,2.643478260869565
537,2009-04-21,12.110869565217392,23.934782608695652,2.226086956521739
538,2009-04-22,11.83478260869565,23.178260869565218,1.5521739130434782
539,2009-04-23,12.277777777777779,22.606521739130436,1.4913043478260875
540,2009-04-24,12.61304347826087,21.328260869565213,1.7826086956521743
541,2009-04-25,13.147826086956524,21.139130434782604,4.560869565217391
542,2009-04-26,11.1695652173913,19.06086956521739,5.717391304347826
543,2009-04-27,8.930434782608694,18.752173913043478,2.378260869565217
544,2009-04-28,8.62391304347826,19.606521739130436,1.4956521739130437
545,2009-04-29,8.234782608695653,18.708695652173915,0.16086956521739132
546,2009-04-30,7.497826086956523,19.45217391304348,0.5130434782608696
547,2009-05-01,8.006521739130436,20.217391304347824,0.7608695652173911
548,2009-05-02,8.619565217391306,21.071739130434786,0.517391304347826
549,2009-05-03,8.81086956521739,21.128260869565217,1.9521739130434788
550,2009-05-04,9.426086956521742,21.389130434782608,0.16956521739130434
551,2009-05-05,8.81304347826087,20.95,0.8695652173913043
552,2009-05-06,9.565217391304344,20.952173913043474,0.9521739130434786
553,2009-05-07,9.639130434782608,20.82173913043478,0.6913043478260869
554,2009-05-08,9.749999999999998,19.90888888888889,0.5043478260869566
555,2009-05-09,9.564444444444446,20.906521739130433,1.7695652173913048
556,2009-05-10,9.78888888888889,19.856521739130436,0.45652173913043476
557,2009-05-11,9.015217391304347,20.04347826086956,1.8869565217391306
558,2009-05-12,8.467391304347826,19.791304347826088,0.26956521739130435
559,2009-05-13,8.458695652173914,19.61521739130435,0.46956521739130436
560,2009-05-14,8.680434782608694,19.68913043478261,0.6826086956521739
561,2009-05-15,9.984782608695653,20.30217391304348,0.3260869565217392
562,2009-05-16,10.867391304347825,20.136956521739133,1.582608695652174
563,2009-05-17,8.482608695652173,19.841304347826085,0.5869565217391305
564,2009-05-18,8.29782608695652,20.05652173913043,0.11739130434782608
565,2009-05-19,9.799999999999999,20.084782608695654,2.9434782608695658
566,2009-05-20,10.639130434782608,20.582608695652176,7.004347826086956
567,2009-05-21,11.576086956521738,20.317391304347826,9.239130434782608
568,2009-05-22,9.954347826086956,19.65,5.8133333333333335
569,2009-05-23,11.178260869565221,20.40434782608695,7.975555555555555
570,2009-05-24,12.450000000000003,20.38913043478261,1.1155555555555554
571,2009-05-25,11.484782608695653,19.582608695652176,2.6260869565217395
572,2009-05-26,10.382608695652177,19.297777777777778,1.9782608695652173
573,2009-05-27,9.764444444444443,18.36739130434783,0.8311111111111111
574,2009-05-28,9.363043478260867,18.16739130434783,0.9347826086956522
575,2009-05-29,8.643478260869566,17.897826086956517,2.343478260869565
576,2009-05-30,8.417391304347825,17.9804347826087,2.3565217391304354
577,2009-05-31,9.356521739130438,18.163043478260864,2.9304347826086965
578,2009-06-01,10.013043478260869,17.102173913043476,1.0434782608695652
579,2009-06-02,10.391304347826088,17.867391304347827,2.817391304347826
580,2009-06-03,11.091304347826087,17.849999999999998,4.75111111111111
581,2009-06-04,10.143478260869564,17.65869565217391,5.121739130434783
582,2009-06-05,9.165217391304346,18.443478260869565,2.860869565217391
583,2009-06-06,7.864444444444441,16.891304347826086,1.0044444444444443
584,2009-06-07,8.069565217391304,16.73260869565218,3.0913043478260867
585,2009-06-08,8.53695652173913,17.095652173913038,2.560869565217392
586,2009-06-09,7.228260869565218,15.93913043478261,3.0173913043478255
587,2009-06-10,7.160869565217391,15.21086956521739,2.5260869565217394
588,2009-06-11,4.726666666666665,14.745652173913038,2.3244444444444445
589,2009-06-12,4.39111111111111,14.48695652173913,1.0044444444444445
590,2009-06-13,6.297826086956522,16.284782608695654,0.4695652173913043
591,2009-06-14,6.743478260869564,16.78478260869565,1.2347826086956524
592,2009-06-15,6.586956521739129,17.691304347826087,0.6799999999999998
593,2009-06-16,6.395652173913043,17.171739130434784,0.9422222222222223
594,2009-06-17,6.365217391304347,17.330434782608698,4.5733333333333315
595,2009-06-18,6.9913043478260875,17.11304347826087,1.8577777777777786
596,2009-06-19,7.386956521739131,17.073913043478257,5.465217391304346
597,2009-06-20,7.815217391304344,17.169565217391305,4.3
598,2009-06-21,9.369565217391301,17.610869565217392,5.106666666666665
599,2009-06-22,9.444444444444445,17.849999999999998,6.826666666666665
600,2009-06-23,8.06086956521739,17.002173913043475,2.8695652173913038
601,2009-06-24,7.4913043478260875,17.25333333333333,2.2956521739130435
602,2009-06-25,7.208888888888889,16.56086956521739,1.8
603,2009-06-26,8.041304347826088,16.645652173913042,1.9111111111111112
604,2009-06-27,8.988888888888889,16.528888888888886,2.6045454545454545
605,2009-06-28,8.544444444444444,17.58478260869565,3.040000000000001
606,2009-06-29,8.406521739130431,18.360869565217396,4.147826086956522
607,2009-06-30,10.05,19.022222222222226,2.3733333333333335
608,2009-07-01,9.886666666666663,17.760869565217394,5.739999999999999
609,2009-07-02,8.339130434782613,16.357777777777777,2.2282608695652177
610,2009-07-03,8.537777777777778,15.841304347826084,3.1043478260869564
611,2009-07-04,7.478260869565219,15.953333333333335,0.8304347826086955
612,2009-07-05,6.906666666666668,15.73478260869565,0.4478260869565217
613,2009-07-06,5.226086956521738,15.00869565217391,0.4869565217391304
614,2009-07-07,5.431111111111111,15.165217391304349,1.8266666666666664
615,2009-07-08,5.630434782608695,16.13478260869565,2.6804347826086956
616,2009-07-09,6.430434782608696,17.097826086956523,2.971739130434783
617,2009-07-10,7.350000000000001,16.56521739130435,3.3586956521739135
618,2009-07-11,8.269565217391303,16.243478260869562,3.5822222222222218
619,2009-07-12,8.404347826086955,17.063043478260866,3.7022222222222214
620,2009-07-13,7.934782608695652,16.23695652173912,1.7304347826086954
621,2009-07-14,6.819565217391303,15.45652173913043,1.732608695652174
622,2009-07-15,5.193478260869566,15.90434782608696,0.9217391304347826
623,2009-07-16,6.0456521739130435,14.95,2.260869565217391
624,2009-07-17,5.6499999999999995,15.897826086956519,3.7804347826086957
625,2009-07-18,5.191304347826087,16.611363636363638,0.26666666666666666
626,2009-07-19,6.438636363636365,17.68,4.497777777777778
627,2009-07-20,7.424444444444443,18.580434782608698,2.976086956521739
628,2009-07-21,7.858695652173912,19.395652173913046,2.330434782608696
629,2009-07-22,9.386956521739132,18.682608695652174,1.1217391304347826
630,2009-07-23,7.800000000000002,16.091304347826085,5.086956521739131
631,2009-07-24,4.4586956521739145,15.717391304347824,0.8913043478260871
632,2009-07-25,5.367391304347826,16.426086956521743,1.7555555555555555
633,2009-07-26,6.500000000000001,15.034782608695656,0.2977777777777778
634,2009-07-27,6.356521739130434,16.41521739130435,2.05
635,2009-07-28,6.297826086956523,16.593478260869567,0.9521739130434783
636,2009-07-29,6.86086956521739,17.233333333333334,0.7130434782608697
637,2009-07-30,6.59777777777778,17.29782608695652,0.30434782608695654
638,2009-07-31,6.77391304347826,17.669565217391305,1.4695652173913045
639,2009-08-01,6.454347826086955,17.689130434782612,0.35652173913043483
640,2009-08-02,6.280434782608695,17.710869565217386,0.6311111111111112
641,2009-08-03,6.443478260869565,17.980434782608693,1.5173913043478264
642,2009-08-04,7.036956521739129,17.964444444444446,0.6304347826086957
643,2009-08-05,6.16222222222222,18.51521739130435,0.5608695652173913
644,2009-08-06,8.039130434782606,19.55217391304348,1.3608695652173914
645,2009-08-07,8.243478260869566,18.604347826086958,1.4533333333333334
646,2009-08-08,5.202173913043478,17.484782608695657,0.5555555555555555
647,2009-08-09,5.317391304347826,17.258695652173916,0.5555555555555556
648,2009-08-10,7.115217391304347,17.68478260869565,1.0130434782608695
649,2009-08-11,8.747826086956525,18.05652173913044,1.4739130434782608
650,2009-08-12,8.206521739130434,18.391304347826086,3.0608695652173914
651,2009-08-13,7.932608695652176,19.41304347826087,1.1695652173913047
652,2009-08-14,7.878260869565218,19.760869565217394,1.56
653,2009-08-15,7.5065217391304335,20.65869565217391,1.7688888888888887
654,2009-08-16,8.93695652173913,20.280434782608694,1.8844444444444444
655,2009-08-17,9.369565217391306,19.184782608695656,3.947826086956522
656,2009-08-18,7.164444444444445,19.213333333333335,0.5422222222222223
657,2009-08-19,8.017777777777779,19.739130434782606,1.4577777777777776
658,2009-08-20,9.236956521739131,20.541304347826088,1.3
659,2009-08-21,9.43478260869565,19.715217391304346,2.247826086956522
660,2009-08-22,9.080434782608693,18.58695652173913,2.6622222222222223
661,2009-08-23,9.719565217391303,21.19130434782609,1.6222222222222222
662,2009-08-24,11.517777777777777,20.64666666666666,2.146666666666667
663,2009-08-25,9.835555555555555,17.98478260869565,3.2217391304347816
664,2009-08-26,8.47173913043478,18.552173913043475,1.7695652173913041
665,2009-08-27,7.815217391304348,20.034782608695654,0.6304347826086957
666,2009-08-28,8.321739130434782,21.03695652173913,1.5869565217391304
667,2009-08-29,10.593478260869567,20.45,2.066666666666667
668,2009-08-30,9.697777777777775,17.382608695652173,3.657777777777777
669,2009-08-31,8.128260869565215,18.568888888888885,0.9869565217391305
670,2009-09-01,7.782222222222222,19.082608695652176,1.2391304347826086
671,2009-09-02,7.489130434782608,19.64565217391304,1.034782608695652
672,2009-09-03,9.806521739130433,19.945652173913047,0.34347826086956523
673,2009-09-04,9.580434782608696,19.91739130434783,2.737777777777778
674,2009-09-05,8.713333333333333,18.40434782608696,3.0933333333333337
675,2009-09-06,7.495652173913044,19.34,0.7111111111111111
676,2009-09-07,9.795555555555556,18.819565217391304,1.4521739130434785
677,2009-09-08,8.659999999999998,18.465217391304346,4.265217391304348
678,2009-09-09,8.854347826086954,18.313043478260866,1.017391304347826
679,2009-09-10,8.206521739130437,20.025581395348837,0.9478260869565216
680,2009-09-11,8.167441860465113,22.720000000000002,2.609302325581395
681,2009-09-12,10.033333333333335,25.880000000000003,2.045454545454546
682,2009-09-13,11.706666666666669,23.656818181818178,0.75
683,2009-09-14,9.138636363636364,20.30454545454545,0.9422222222222223
684,2009-09-15,9.234883720930233,21.40681818181818,0.6454545454545454
685,2009-09-16,9.997727272727273,22.83181818181819,0.3866666666666667
686,2009-09-17,12.820454545454545,23.06444444444444,2.3955555555555557
687,2009-09-18,11.272727272727273,21.75681818181818,4.022222222222222
688,2009-09-19,10.67272727272727,21.843181818181815,0.4095238095238095
689,2009-09-20,9.863636363636365,22.28,0.5534883720930233
690,2009-09-21,10.05111111111111,21.297777777777775,1.4177777777777778
691,2009-09-22,11.95,22.77045454545454,7.0659090909090905
692,2009-09-23,12.42272727272727,19.856818181818184,4.862222222222222
693,2009-09-24,11.150000000000002,20.804347826086953,1.1636363636363638
694,2009-09-25,9.078260869565216,20.92173913043478,1.5434782608695652
695,2009-09-26,9.556521739130435,18.063043478260877,3.7288888888888887
696,2009-09-27,7.752173913043477,17.8804347826087,2.826666666666666
697,2009-09-28,8.43478260869565,18.689130434782612,2.0666666666666664
698,2009-09-29,7.39782608695652,19.826666666666664,1.2869565217391306
699,2009-09-30,9.146666666666667,23.2,0.8173913043478261
700,2009-10-01,10.606666666666666,23.754347826086963,0.39565217391304347
701,2009-10-02,10.989130434782608,20.360869565217392,0.7391304347826086
702,2009-10-03,11.010869565217392,18.30217391304348,2.968888888888889
703,2009-10-04,9.60652173913043,18.908695652173908,3.8444444444444437
704,2009-10-05,10.293181818181816,20.2195652173913,2.151111111111111
705,2009-10-06,9.020454545454546,19.25,2.2000000000000006
706,2009-10-07,8.453488372093023,19.295454545454547,1.5244444444444443
707,2009-10-08,8.57272727272727,19.454545454545457,0.6444444444444443
708,2009-10-09,8.484444444444444,19.746666666666666,0.6533333333333333
709,2009-10-10,9.20888888888889,20.620000000000005,2.031111111111111
710,2009-10-11,9.950000000000001,20.986666666666665,1.7511111111111113
